[rosmaster.main][INFO] 2019-04-08 16:30:56,737: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-04-08 16:30:56,737: Starting ROS Master Node
[xmlrpc][INFO] 2019-04-08 16:30:56,738: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-04-08 16:30:56,738: Started XML-RPC server [http://fscmontreal:11311/]
[rosmaster.master][INFO] 2019-04-08 16:30:56,739: Master initialized: port[11311], uri[http://fscmontreal:11311/]
[xmlrpc][INFO] 2019-04-08 16:30:56,739: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-04-08 16:30:56,787: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-04-08 16:30:56,788: +PARAM [/roslaunch/uris/host_fscmontreal__36542] by /roslaunch
[rosmaster.master][INFO] 2019-04-08 16:30:56,894: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-04-08 16:30:56,895: +PARAM [/vrpn_client_node/use_server_time] by /roslaunch
[rosmaster.master][INFO] 2019-04-08 16:30:56,895: +PARAM [/vrpn_client_node/refresh_tracker_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-04-08 16:30:56,895: +PARAM [/vrpn_client_node/port] by /roslaunch
[rosmaster.master][INFO] 2019-04-08 16:30:56,895: +PARAM [/vrpn_client_node/broadcast_tf] by /roslaunch
[rosmaster.master][INFO] 2019-04-08 16:30:56,895: +PARAM [/vrpn_client_node/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-04-08 16:30:56,896: +PARAM [/vrpn_client_node/server] by /roslaunch
[rosmaster.master][INFO] 2019-04-08 16:30:56,896: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-04-08 16:30:56,896: +PARAM [/vrpn_client_node/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-04-08 16:30:57,596: +SERVICE [/rosout/get_loggers] /rosout http://fscmontreal:39409/
[rosmaster.master][INFO] 2019-04-08 16:30:57,597: +PUB [/rosout] /vrpn_client_node http://fscmontreal:40187/
[rosmaster.master][INFO] 2019-04-08 16:30:57,598: +PUB [/rosout] /ARdronePID http://fscmontreal:35125/
[rosmaster.master][INFO] 2019-04-08 16:30:57,599: +SERVICE [/rosout/set_logger_level] /rosout http://fscmontreal:39409/
[rosmaster.master][INFO] 2019-04-08 16:30:57,600: +SERVICE [/vrpn_client_node/get_loggers] /vrpn_client_node http://fscmontreal:40187/
[rosmaster.master][INFO] 2019-04-08 16:30:57,601: +SERVICE [/ARdronePID/get_loggers] /ARdronePID http://fscmontreal:35125/
